"abb","div","reg","Population","Area"
"AL","East South Central","South",3615,50708
"AK","Pacific","West",365,566432
"AZ","Mountain","West",2212,113417
"AR","West South Central","South",2110,51945
"CA","Pacific","West",21198,156361
"CO","Mountain","West",2541,103766
"CT","New England","Northeast",3100,4862
"DE","South Atlantic","South",579,1982
"FL","South Atlantic","South",8277,54090
"GA","South Atlantic","South",4931,58073
"HI","Pacific","West",868,6425
"ID","Mountain","West",813,82677
"IL","East North Central","North Central",11197,55748
"IN","East North Central","North Central",5313,36097
"IA","West North Central","North Central",2861,55941
"KS","West North Central","North Central",2280,81787
"KY","East South Central","South",3387,39650
"LA","West South Central","South",3806,44930
"ME","New England","Northeast",1058,30920
"MD","South Atlantic","South",4122,9891
"MA","New England","Northeast",5814,7826
"MI","East North Central","North Central",9111,56817
"MN","West North Central","North Central",3921,79289
"MS","East South Central","South",2341,47296
"MO","West North Central","North Central",4767,68995
"MT","Mountain","West",746,145587
"NE","West North Central","North Central",1544,76483
"NV","Mountain","West",590,109889
"NH","New England","Northeast",812,9027
"NJ","Middle Atlantic","Northeast",7333,7521
"NM","Mountain","West",1144,121412
"NY","Middle Atlantic","Northeast",18076,47831
"NC","South Atlantic","South",5441,48798
"ND","West North Central","North Central",637,69273
"OH","East North Central","North Central",10735,40975
"OK","West South Central","South",2715,68782
"OR","Pacific","West",2284,96184
"PA","Middle Atlantic","Northeast",11860,44966
"RI","New England","Northeast",931,1049
"SC","South Atlantic","South",2816,30225
"SD","West North Central","North Central",681,75955
"TN","East South Central","South",4173,41328
"TX","West South Central","South",12237,262134
"UT","Mountain","West",1203,82096
"VT","New England","Northeast",472,9267
"VA","South Atlantic","South",4981,39780
"WA","Pacific","West",3559,66570
"WV","South Atlantic","South",1799,24070
"WI","East North Central","North Central",4589,54464
"WY","Mountain","West",376,97203
